record_date,month_year,customer_id,region,plan_name,subscription_status,invoiced_amount,paid_amount,is_zombie_invoice,is_ghost_subscriber,leakage_amount,status_label
2024-01-01,2024-01,1031,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1032,North,Pro,Active,50.00,0.00,1,0,50.00,"Unpaid Invoice"
2024-01-01,2024-01,1033,West,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1034,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1035,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1036,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1037,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1038,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1039,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1040,East,Basic,Active,10.00,0.00,1,0,10.00,"Unpaid Invoice"
2024-01-01,2024-01,1041,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1042,East,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1043,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1044,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1045,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1046,West,Enterprise,Cancelled,200.00,193.09,0,0,6.91,"Partial Payment"
2024-01-01,2024-01,1047,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1048,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1049,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1050,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1051,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1052,South,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1053,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1054,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1055,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1056,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1057,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1058,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1059,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1061,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1062,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1063,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1064,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1065,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1066,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1067,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1068,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1069,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1070,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1071,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1072,South,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1073,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1074,South,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1075,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1076,South,Enterprise,Active,200.00,185.27,0,0,14.73,"Partial Payment"
2024-01-01,2024-01,1077,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1078,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1079,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1080,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1081,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1082,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1083,North,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1084,West,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1085,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1086,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1087,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1088,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1089,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1090,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1091,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1092,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1093,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1094,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1095,South,Pro,Active,50.00,47.32,0,0,2.68,"Partial Payment"
2024-01-01,2024-01,1096,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1098,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1099,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1100,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1101,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1102,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1103,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1105,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1106,South,Basic,Active,10.00,9.65,0,0,0.35,"Partial Payment"
2024-01-01,2024-01,1107,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1108,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1109,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1110,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1111,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1112,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1113,West,Basic,Active,10.00,9.49,0,0,0.51,"Partial Payment"
2024-01-01,2024-01,1114,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1115,East,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1116,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1117,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1118,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1119,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1120,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1121,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1122,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1123,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1124,East,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1125,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1126,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1127,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1128,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1129,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1130,West,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1131,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1132,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1133,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1134,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1135,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1136,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1137,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1138,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1139,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1140,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1141,West,Pro,Active,50.00,47.16,0,0,2.84,"Partial Payment"
2024-01-01,2024-01,1142,North,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1143,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1144,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1145,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1146,East,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1147,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1148,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1149,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1150,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1151,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1152,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1153,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1154,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1155,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1156,South,Pro,Active,50.00,0.00,1,0,50.00,"Unpaid Invoice"
2024-01-01,2024-01,1157,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1158,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1159,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1160,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1161,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1162,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1163,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1164,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1165,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1166,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1167,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1168,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1169,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1170,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1171,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1172,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1173,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1174,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1175,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1176,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1177,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1178,East,Basic,Active,10.00,0.00,1,0,10.00,"Unpaid Invoice"
2024-01-01,2024-01,1179,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1180,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1181,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1182,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1183,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1184,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1185,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1186,North,Pro,Active,50.00,46.90,0,0,3.10,"Partial Payment"
2024-01-01,2024-01,1187,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1188,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1189,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1190,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1191,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1193,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1194,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1195,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1196,South,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1197,South,Basic,Active,10.00,0.00,1,0,10.00,"Unpaid Invoice"
2024-01-01,2024-01,1198,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1199,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1200,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1201,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1202,West,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1203,East,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1205,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1206,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1207,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1208,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1209,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1210,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1211,East,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1212,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1213,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1214,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1215,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1216,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1217,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1218,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1219,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1220,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1221,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1222,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1223,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1224,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1225,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1226,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1227,North,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1228,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1229,North,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1230,North,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1232,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1233,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1234,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1235,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1236,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1237,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1238,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1239,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1240,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1241,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1242,East,Basic,Cancelled,10.00,0.00,1,0,10.00,"Unpaid Invoice"
2024-01-01,2024-01,1243,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1244,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1245,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1246,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1247,North,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1248,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1249,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1250,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1251,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1252,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1253,West,Basic,Active,10.00,9.84,0,0,0.16,"Partial Payment"
2024-01-01,2024-01,1254,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1255,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1256,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1257,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1258,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1259,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1260,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1261,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1262,South,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1263,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1264,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1265,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1266,South,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1267,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1268,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1269,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1270,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1271,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1272,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1273,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1274,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1275,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1276,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1277,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
