payment_id,invoice_id,payment_date,amount_paid
20123,10125,2024-01-09,200.0
20124,10126,2024-01-10,10.0
20125,10127,2024-01-15,50.0
20126,10128,2024-01-15,50.0
20127,10129,2024-01-09,50.0
20128,10130,2024-01-12,200.0
20129,10131,2024-01-16,200.0
20130,10132,2024-01-13,200.0
20131,10133,2024-01-20,10.0
20132,10134,2024-01-03,10.0
20133,10135,2024-01-13,200.0
20134,10136,2024-01-05,50.0
20135,10137,2024-01-07,10.0
20136,10138,2024-01-02,47.16
20137,10139,2024-01-18,10.0
20138,10140,2024-01-09,10.0
20139,10141,2024-01-01,200.0
20140,10142,2024-01-17,10.0
20141,10143,2024-01-09,200.0
20142,10144,2024-01-11,200.0
20143,10145,2024-01-09,50.0
20144,10146,2024-01-05,50.0
20145,10147,2024-01-16,10.0
20146,10148,2024-01-01,50.0
20147,10149,2024-01-13,50.0
20148,10150,2024-01-14,200.0
20149,10151,2024-01-08,200.0
20150,10152,2024-01-08,10.0
20151,10154,2024-01-12,200.0
20152,10155,2024-01-04,50.0
20153,10156,2024-01-09,50.0
20154,10157,2024-01-02,10.0
20155,10158,2024-01-04,200.0
20156,10159,2024-01-11,10.0
20157,10160,2024-01-02,10.0
20158,10161,2024-01-17,50.0
20159,10162,2024-01-05,10.0
20160,10163,2024-01-13,50.0
20161,10164,2024-01-15,10.0
20162,10165,2024-01-18,50.0
20163,10166,2024-01-19,50.0
20164,10167,2024-01-14,50.0
20165,10168,2024-01-17,50.0
20166,10169,2024-01-16,50.0
20167,10170,2024-01-03,10.0
20168,10171,2024-01-07,10.0
20169,10172,2024-01-08,50.0
20170,10173,2024-01-07,50.0
20171,10174,2024-01-20,50.0
20172,10176,2024-01-01,50.0
20173,10177,2024-01-04,10.0
20174,10178,2024-01-15,10.0
20175,10179,2024-01-12,10.0
20176,10180,2024-01-09,50.0
20177,10181,2024-01-12,10.0
20178,10182,2024-01-16,10.0
20179,10183,2024-01-13,46.9
20180,10184,2024-01-04,50.0
20181,10185,2024-01-02,10.0
20182,10186,2024-01-06,10.0
20183,10187,2024-01-20,200.0
20184,10188,2024-01-18,200.0
20185,10189,2024-01-15,50.0
20186,10190,2024-01-20,50.0
20187,10191,2024-01-15,200.0
20188,10192,2024-01-14,50.0
20189,10194,2024-01-16,10.0
20190,10195,2024-01-14,50.0
20191,10196,2024-01-03,200.0
20192,10197,2024-01-19,200.0
20193,10198,2024-01-15,200.0
20194,10199,2024-01-16,10.0
20195,10200,2024-01-17,50.0
20196,10201,2024-01-07,200.0
20197,10202,2024-01-04,10.0
20198,10203,2024-01-06,10.0
20199,10204,2024-01-19,200.0
20200,10205,2024-01-18,10.0
20201,10206,2024-01-15,200.0
20202,10207,2024-01-05,10.0
20203,10208,2024-01-05,50.0
20204,10209,2024-01-20,10.0
20205,10210,2024-01-08,200.0
20206,10211,2024-01-02,50.0
20207,10212,2024-01-13,50.0
20208,10213,2024-01-11,10.0
20209,10214,2024-01-09,200.0
20210,10215,2024-01-07,50.0
20211,10216,2024-01-03,50.0
20212,10217,2024-01-14,200.0
20213,10218,2024-01-06,10.0
20214,10219,2024-01-02,10.0
20215,10220,2024-01-13,50.0
20216,10221,2024-01-11,50.0
20217,10222,2024-01-19,10.0
20218,10223,2024-01-17,200.0
20219,10224,2024-01-19,50.0
20220,10225,2024-01-01,10.0
20221,10226,2024-01-17,10.0
20222,10227,2024-01-15,10.0
20223,10228,2024-01-02,50.0
20224,10229,2024-01-08,50.0
20225,10230,2024-01-04,10.0
20226,10231,2024-01-09,10.0
20227,10232,2024-01-04,200.0
20228,10233,2024-01-06,50.0
20229,10234,2024-01-01,200.0
20230,10235,2024-01-11,10.0
20231,10237,2024-01-03,200.0
20232,10238,2024-01-01,200.0
20233,10239,2024-01-06,10.0
20234,10240,2024-01-19,50.0
20235,10241,2024-01-18,200.0
20236,10242,2024-01-07,50.0
20237,10243,2024-01-01,200.0
20238,10244,2024-01-05,10.0
20239,10245,2024-01-13,200.0
20240,10246,2024-01-01,10.0
20241,10247,2024-01-12,9.84
20242,10248,2024-01-04,200.0
20243,10249,2024-01-09,10.0
20244,10250,2024-01-08,50.0
20245,10251,2024-01-20,10.0
20246,10252,2024-01-04,50.0
20247,10253,2024-01-08,200.0
20248,10254,2024-01-06,50.0
20249,10255,2024-01-15,10.0
20250,10256,2024-01-05,50.0
20251,10257,2024-01-15,200.0
20252,10258,2024-01-13,200.0
20253,10259,2024-01-04,200.0
20254,10260,2024-01-02,10.0
20255,10261,2024-01-02,10.0
20256,10262,2024-01-05,10.0
20257,10263,2024-01-13,200.0
20258,10264,2024-01-14,10.0
20259,10265,2024-01-20,200.0
20260,10266,2024-01-07,50.0
20261,10267,2024-01-01,50.0
20262,10268,2024-01-08,50.0
20263,10269,2024-01-15,200.0
20264,10270,2024-01-11,10.0
20265,10271,2024-01-15,200.0
20266,10272,2024-01-08,50.0
20267,10273,2024-01-06,50.0
20268,10274,2024-01-05,200.0
20269,10275,2024-01-17,50.0
20270,10276,2024-01-09,50.0
20271,10277,2024-01-01,10.0
20272,10278,2024-01-13,50.0
20273,10279,2024-01-13,50.0
20274,10280,2024-01-03,10.0
20275,10281,2024-01-04,10.0
20276,10282,2024-01-19,50.0
20277,10283,2024-01-07,200.0
20278,10284,2024-01-16,10.0
20279,10285,2024-01-04,10.0
20280,10286,2024-01-19,200.0
20281,10287,2024-01-17,50.0
20282,10288,2024-01-18,50.0
20283,10289,2024-01-11,10.0
20284,10290,2024-01-03,10.0
20285,10291,2024-01-04,10.0
20286,10292,2024-01-04,9.37
20287,10293,2024-01-04,10.0
20288,10294,2024-01-19,200.0
20289,10295,2024-01-11,10.0
20290,10296,2024-01-14,200.0
20291,10297,2024-01-04,10.0
20292,10298,2024-01-12,200.0
20293,10299,2024-01-07,200.0
20294,10300,2024-01-20,10.0
20295,10301,2024-01-19,50.0
20296,10302,2024-01-20,50.0
20297,10303,2024-01-03,10.0
20298,10304,2024-01-15,200.0
20299,10305,2024-01-19,200.0
20300,10306,2024-01-15,10.0
20301,10307,2024-01-05,50.0
20302,10308,2024-01-17,50.0
20303,10309,2024-01-03,10.0
20304,10310,2024-01-01,200.0
20305,10311,2024-01-02,10.0
20306,10312,2024-01-09,50.0
20307,10313,2024-01-05,50.0
20308,10314,2024-01-10,50.0
20309,10315,2024-01-14,50.0
20310,10316,2024-01-19,50.0
20311,10317,2024-01-15,200.0
20312,10318,2024-01-06,50.0
20313,10319,2024-01-04,200.0
20314,10320,2024-01-02,200.0
20315,10321,2024-01-11,50.0
20316,10322,2024-01-01,200.0
20317,10323,2024-01-09,50.0
20318,10324,2024-01-04,50.0
20319,10325,2024-01-15,200.0
20320,10326,2024-01-14,50.0
20321,10327,2024-01-16,200.0
20322,10328,2024-01-01,50.0
20323,10329,2024-01-04,200.0
20324,10330,2024-01-16,10.0
20325,10331,2024-01-01,200.0
20326,10332,2024-01-11,10.0
20327,10333,2024-01-04,184.2
20328,10334,2024-01-07,50.0
20329,10335,2024-01-04,10.0
20330,10336,2024-01-06,47.46
20331,10337,2024-01-18,50.0
20332,10338,2024-01-17,10.0
20333,10339,2024-01-06,10.0
20334,10340,2024-01-03,46.94
20335,10341,2024-01-08,50.0
20336,10342,2024-01-04,9.65
20337,10343,2024-01-07,50.0
20338,10344,2024-01-19,200.0
20339,10346,2024-01-13,10.0
20340,10347,2024-01-06,50.0
20341,10348,2024-01-10,50.0
20342,10349,2024-01-04,10.0
20343,10350,2024-01-08,10.0
20344,10351,2024-01-15,200.0
20345,10353,2024-01-03,10.0
20346,10354,2024-01-15,10.0
20347,10355,2024-01-01,10.0
20348,10356,2024-01-03,50.0
20349,10357,2024-01-01,50.0
20350,10359,2024-01-11,200.0
20351,10360,2024-01-12,50.0
20352,10361,2024-01-01,10.0
20353,10362,2024-01-08,10.0
20354,10363,2024-01-13,200.0
20355,10364,2024-01-09,50.0
20356,10365,2024-01-03,50.0
20357,10366,2024-01-10,50.0
20358,10367,2024-01-07,10.0
20359,10368,2024-01-06,50.0
20360,10369,2024-01-01,10.0
20361,10370,2024-01-08,200.0
20362,10371,2024-01-15,50.0
20363,10372,2024-01-18,200.0
20364,10373,2024-01-17,50.0
20365,10374,2024-01-20,50.0
20366,10375,2024-01-12,10.0
20367,10376,2024-01-16,10.0
20368,10377,2024-01-06,200.0
20369,10378,2024-01-09,10.0
20370,10379,2024-01-19,200.0
20371,10380,2024-01-20,10.0
20372,10381,2024-01-06,10.0
20373,10382,2024-01-09,10.0
20374,10383,2024-01-03,50.0
20375,10384,2024-01-10,10.0
20376,10385,2024-01-01,50.0
20377,10386,2024-01-09,10.0
20378,10387,2024-01-04,10.0
20379,10388,2024-01-08,200.0
20380,10389,2024-01-15,50.0
20381,10390,2024-01-18,200.0
20382,10391,2024-01-05,10.0
20383,10392,2024-01-06,200.0
20384,10393,2024-01-17,50.0
20385,10394,2024-01-13,10.0
20386,10395,2024-01-18,200.0
20387,10396,2024-01-02,9.16
20388,10397,2024-01-18,50.0
20389,10398,2024-01-09,50.0
20390,10399,2024-01-20,50.0
20391,10400,2024-01-08,10.0
20392,10401,2024-01-13,10.0
20393,10402,2024-01-17,200.0
20394,10403,2024-01-03,50.0
20395,10404,2024-01-08,200.0
20396,10405,2024-01-11,200.0
20397,10406,2024-01-15,200.0
20398,10407,2024-01-06,10.0
20399,10408,2024-01-15,50.0
20400,10409,2024-01-09,200.0
20401,10410,2024-01-18,200.0
20402,10411,2024-01-18,50.0
20403,10412,2024-01-06,10.0
20404,10413,2024-01-09,50.0
20405,10414,2024-01-16,50.0
20406,10415,2024-01-06,200.0
20407,10416,2024-01-08,10.0
20408,10417,2024-01-03,50.0
20409,10418,2024-01-02,10.0
20410,10419,2024-01-13,10.0
20411,10420,2024-01-10,10.0
20412,10421,2024-01-17,50.0
20413,10422,2024-01-12,10.0
20414,10423,2024-01-02,50.0
20415,10424,2024-01-14,200.0
20416,10425,2024-01-14,200.0
20417,10426,2024-01-15,200.0
20418,10427,2024-01-13,10.0
20419,10428,2024-01-08,10.0
20420,10429,2024-01-18,200.0
20421,10430,2024-01-05,50.0
20422,10431,2024-01-04,10.0
20423,10432,2024-01-04,200.0
20424,10433,2024-01-02,200.0
20425,10434,2024-01-13,200.0
20426,10435,2024-01-11,50.0
20427,10436,2024-01-16,50.0
20428,10437,2024-01-19,10.0
20429,10438,2024-01-13,200.0
20430,10439,2024-01-08,10.0
20431,10440,2024-01-07,10.0
20432,10441,2024-01-18,10.0
20433,10442,2024-01-18,200.0
20434,10443,2024-01-05,50.0
20435,10444,2024-01-04,50.0
20436,10445,2024-01-03,50.0
20437,10446,2024-01-11,50.0
20438,10447,2024-01-06,10.0
20439,10448,2024-01-05,10.0
20440,10449,2024-01-04,50.0
20441,10450,2024-01-01,10.0
20442,10451,2024-01-16,200.0
20443,10452,2024-01-17,200.0
20444,10453,2024-01-18,50.0
20445,10454,2024-01-03,10.0
20446,10455,2024-01-07,50.0
20447,10456,2024-01-09,10.0
20448,10457,2024-01-01,50.0
20449,10458,2024-01-03,50.0
20450,10459,2024-01-16,50.0
20451,10460,2024-01-16,50.0
20452,10461,2024-01-10,50.0
20453,10462,2024-01-17,50.0
20454,10463,2024-01-07,10.0
20455,10464,2024-01-02,200.0
20456,10466,2024-01-11,50.0
20457,10467,2024-01-16,200.0
20458,10468,2024-01-09,10.0
20459,10469,2024-01-17,50.0
20460,10470,2024-01-06,50.0
20461,10471,2024-01-16,10.0
20462,10472,2024-01-09,200.0
20463,10473,2024-01-01,50.0
20464,10474,2024-01-18,200.0
20465,10475,2024-01-19,50.0
20466,10476,2024-01-08,10.0
20467,10477,2024-01-14,10.0
20468,10478,2024-01-20,48.41
20469,10479,2024-01-02,10.0
20470,10480,2024-01-19,200.0
20471,10481,2024-01-11,10.0
20472,10482,2024-01-17,10.0
20473,10483,2024-01-04,50.0
20474,10484,2024-01-08,200.0
20475,10485,2024-01-18,10.0
20476,10486,2024-01-18,50.0
20477,10487,2024-01-14,10.0
20478,10488,2024-01-08,10.0
20479,10489,2024-01-09,10.0
20480,10490,2024-01-17,200.0
20481,10491,2024-01-08,200.0
20482,10492,2024-01-03,200.0
20483,10493,2024-01-11,50.0
20484,10495,2024-01-10,200.0
20485,10496,2024-01-06,10.0
20486,10497,2024-01-14,10.0
20487,10498,2024-01-15,200.0
20488,10499,2024-01-09,50.0
20489,10500,2024-01-07,10.0
20490,10501,2024-01-18,10.0
20491,10502,2024-01-07,200.0
20492,10503,2024-01-09,10.0
20493,10504,2024-01-03,50.0
20494,10505,2024-01-20,10.0
20495,10506,2024-01-03,50.0
20496,10507,2024-01-19,10.0
20497,10508,2024-01-17,10.0
20498,10509,2024-01-11,10.0
20499,10510,2024-01-12,50.0
20500,10511,2024-01-12,200.0
20501,10512,2024-01-16,10.0
20502,10513,2024-01-18,10.0
20503,10514,2024-01-10,10.0
20504,10515,2024-01-02,10.0
20505,10516,2024-01-05,200.0
20506,10517,2024-01-04,10.0
20507,10518,2024-01-04,50.0
20508,10519,2024-01-01,200.0
20509,10520,2024-01-03,200.0
20510,10521,2024-01-13,10.0
20511,10522,2024-01-14,50.0
20512,10523,2024-01-09,10.0
20513,10524,2024-01-10,10.0
20514,10525,2024-01-13,50.0
20515,10526,2024-01-07,50.0
20516,10527,2024-01-02,50.0
20517,10528,2024-01-13,9.45
20518,10529,2024-01-10,50.0
20519,10530,2024-01-17,200.0
20520,10531,2024-01-18,50.0
20521,10532,2024-01-06,50.0
20522,10533,2024-01-14,50.0
20523,10534,2024-01-12,50.0
20524,10535,2024-01-08,200.0
20525,10536,2024-01-17,50.0
20526,10537,2024-01-01,10.0
20527,10538,2024-01-17,50.0
20528,10539,2024-01-14,50.0
20529,10540,2024-01-19,200.0
20530,10541,2024-01-05,50.0
20531,10542,2024-01-02,10.0
20532,10543,2024-01-09,200.0
20533,10544,2024-01-18,10.0
20534,10545,2024-01-17,10.0
20535,10546,2024-01-01,200.0
20536,10547,2024-01-20,10.0
20537,10548,2024-01-03,188.0
20538,10549,2024-01-04,200.0
20539,10550,2024-01-13,10.0
20540,10551,2024-01-13,195.83
20541,10552,2024-01-10,50.0
20542,10553,2024-01-13,10.0
20543,10554,2024-01-10,200.0
20544,10555,2024-01-01,10.0
20545,10556,2024-01-09,50.0
20546,10557,2024-01-03,50.0
20547,10558,2024-01-10,50.0
20548,10559,2024-01-06,10.0
20549,10560,2024-01-13,200.0
20550,10561,2024-01-15,10.0
20551,10562,2024-01-03,10.0
20552,10563,2024-01-02,50.0
20553,10564,2024-01-13,50.0
20554,10565,2024-01-12,50.0
20555,10566,2024-01-02,10.0
20556,10567,2024-01-02,10.0
20557,10568,2024-01-06,50.0
20558,10569,2024-01-05,50.0
20559,10570,2024-01-06,200.0
20560,10571,2024-01-17,50.0
20561,10572,2024-01-17,200.0
20562,10573,2024-01-07,50.0
20563,10574,2024-01-14,10.0
20564,10575,2024-01-18,10.0
20565,10576,2024-01-10,190.31
20566,10577,2024-01-05,10.0
20567,10578,2024-01-03,188.5
20568,10579,2024-01-02,50.0
20569,10580,2024-01-10,10.0
20570,10581,2024-01-14,10.0
20571,10582,2024-01-14,50.0
20572,10583,2024-01-09,50.0
20573,10584,2024-01-06,50.0
20574,10585,2024-01-08,200.0
20575,10586,2024-01-18,10.0
20576,10587,2024-01-11,10.0
20577,10588,2024-01-02,50.0
20578,10589,2024-01-04,10.0
20579,10590,2024-01-16,50.0
20580,10591,2024-01-18,10.0
20581,10592,2024-01-09,10.0
20582,10593,2024-01-05,50.0
20583,10594,2024-01-19,200.0
20584,10595,2024-01-04,50.0
20585,10596,2024-01-16,50.0
20586,10597,2024-01-01,10.0
20587,10598,2024-01-10,50.0
20588,10599,2024-01-01,10.0
20589,10600,2024-01-18,200.0
20590,10601,2024-01-03,200.0
20591,10602,2024-01-12,200.0
20592,10603,2024-01-19,50.0
20593,10604,2024-01-11,10.0
20594,10605,2024-01-06,200.0
20595,10606,2024-01-04,10.0
20596,10607,2024-01-14,10.0
20597,10608,2024-01-05,200.0
20598,10609,2024-01-06,200.0
20599,10610,2024-01-10,10.0
20600,10611,2024-01-11,50.0
20601,10612,2024-01-13,10.0
20602,10613,2024-01-03,50.0
20603,10614,2024-01-15,50.0
20604,10615,2024-01-01,10.0
20605,10616,2024-01-08,200.0
20606,10617,2024-01-19,200.0
20607,10618,2024-01-03,50.0
20608,10619,2024-01-20,10.0
20609,10620,2024-01-17,50.0
20610,10621,2024-01-17,49.08
20611,10622,2024-01-04,10.0
20612,10623,2024-01-01,50.0
20613,10624,2024-01-10,50.0
20614,10625,2024-01-13,50.0
20615,10626,2024-01-11,10.0
20616,10627,2024-01-01,50.0
20617,10628,2024-01-17,10.0
20618,10629,2024-01-15,200.0
20619,10630,2024-01-09,50.0
20620,10631,2024-01-02,10.0
20621,10632,2024-01-18,200.0
20622,10633,2024-01-15,50.0
20623,10634,2024-01-06,50.0
20624,10635,2024-01-14,200.0
20625,10636,2024-01-12,200.0
20626,10637,2024-01-09,10.0
20627,10638,2024-01-08,200.0
20628,10639,2024-01-08,50.0
20629,10640,2024-01-09,10.0
20630,10641,2024-01-16,200.0
20631,10642,2024-01-09,10.0
20632,10643,2024-01-12,50.0
20633,10644,2024-01-20,50.0
20634,10645,2024-01-08,200.0
20635,10646,2024-01-10,10.0
20636,10647,2024-01-05,200.0
20637,10648,2024-01-02,50.0
20638,10649,2024-01-12,10.0
20639,10650,2024-01-11,10.0
20640,10651,2024-01-15,50.0
20641,10652,2024-01-15,200.0
20642,10653,2024-01-19,200.0
20643,10654,2024-01-09,10.0
20644,10655,2024-01-08,50.0
20645,10656,2024-01-10,200.0
20646,10657,2024-01-20,50.0
20647,10658,2024-01-05,200.0
20648,10659,2024-01-17,10.0
20649,10660,2024-01-13,50.0
20650,10661,2024-01-19,200.0
20651,10662,2024-01-02,50.0
20652,10663,2024-01-06,10.0
20653,10664,2024-01-20,10.0
20654,10665,2024-01-04,10.0
20655,10666,2024-01-10,200.0
20656,10667,2024-01-01,50.0
20657,10668,2024-01-20,10.0
20658,10669,2024-01-13,200.0
20659,10670,2024-01-10,10.0
20660,10671,2024-01-04,50.0
20661,10672,2024-01-08,10.0
20662,10673,2024-01-19,200.0
20663,10674,2024-01-20,10.0
20664,10675,2024-01-03,10.0
20665,10676,2024-01-08,200.0
20666,10677,2024-01-02,10.0
20667,10678,2024-01-13,10.0
20668,10679,2024-01-05,10.0
20669,10680,2024-01-13,200.0
20670,10681,2024-01-03,200.0
20671,10682,2024-01-02,50.0
20672,10683,2024-01-02,10.0
20673,10684,2024-01-06,200.0
20674,10685,2024-01-05,10.0
20675,10686,2024-01-17,200.0
20676,10687,2024-01-16,10.0
20677,10688,2024-01-19,10.0
20678,10689,2024-01-07,10.0
20679,10690,2024-01-03,200.0
20680,10691,2024-01-07,10.0
20681,10692,2024-01-07,200.0
20682,10693,2024-01-17,50.0
20683,10694,2024-01-19,200.0
20684,10696,2024-01-01,50.0
20685,10697,2024-01-08,200.0
20686,10698,2024-01-11,48.18
20687,10699,2024-01-02,50.0
20688,10700,2024-01-04,50.0
20689,10701,2024-01-04,10.0
20690,10702,2024-01-11,50.0
20691,10703,2024-01-04,10.0
20692,10704,2024-01-07,50.0
20693,10706,2024-01-01,10.0
20694,10707,2024-01-03,10.0
20695,10708,2024-01-12,50.0
20696,10709,2024-01-10,200.0
20697,10710,2024-01-07,50.0
20698,10711,2024-01-17,50.0
20699,10713,2024-01-01,10.0
20700,10714,2024-01-03,10.0
20701,10715,2024-01-08,10.0
20702,10716,2024-01-05,200.0
20703,10717,2024-01-09,10.0
20704,10718,2024-01-18,10.0
20705,10719,2024-01-05,10.0
20706,10720,2024-01-02,10.0
20707,10721,2024-01-11,50.0
20708,10723,2024-01-06,200.0
20709,10724,2024-01-20,50.0
20710,10725,2024-01-14,50.0
20711,10726,2024-01-08,50.0
20712,10727,2024-01-08,10.0
20713,10728,2024-01-17,10.0
20714,10729,2024-01-13,200.0
20715,10730,2024-01-13,200.0
20716,10731,2024-01-01,200.0
20717,10732,2024-01-09,50.0
20718,10733,2024-01-17,10.0
20719,10734,2024-01-04,50.0
20720,10735,2024-01-11,10.0
20721,10736,2024-01-05,10.0
20722,10737,2024-01-13,50.0
20723,10738,2024-01-10,10.0
20724,10739,2024-01-05,200.0
20725,10740,2024-01-10,10.0
20726,10741,2024-01-13,200.0
20727,10742,2024-01-20,10.0
20728,10743,2024-01-06,200.0
20729,10744,2024-01-04,200.0
20730,10745,2024-01-17,50.0
20731,10746,2024-01-20,200.0
20732,10747,2024-01-05,10.0
20733,10748,2024-01-12,10.0
20734,10749,2024-01-05,200.0
20735,10750,2024-01-16,50.0
20736,10751,2024-01-08,200.0
20737,10752,2024-01-06,10.0
20738,10753,2024-01-03,50.0
20739,10754,2024-01-15,50.0
20740,10755,2024-01-19,10.0
20741,10756,2024-01-20,200.0
20742,10757,2024-01-18,50.0
20743,10758,2024-01-20,200.0
20744,10759,2024-01-07,200.0
20745,10760,2024-01-17,200.0
20746,10761,2024-01-08,10.0
20747,10762,2024-01-18,50.0
20748,10763,2024-01-14,200.0
20749,10764,2024-01-20,10.0
20750,10765,2024-01-18,200.0
20751,10766,2024-01-04,10.0
20752,10767,2024-01-03,10.0
20753,10768,2024-01-06,50.0
20754,10769,2024-01-13,200.0
20755,10770,2024-01-11,50.0
20756,10771,2024-01-13,200.0
20757,10772,2024-01-14,200.0
20758,10773,2024-01-04,200.0
20759,10774,2024-01-10,200.0
20760,10775,2024-01-12,10.0
20761,10776,2024-01-15,200.0
20762,10777,2024-01-07,50.0
20763,10778,2024-01-20,50.0
20764,10779,2024-01-05,10.0
20765,10780,2024-01-07,50.0
20766,10781,2024-01-05,200.0
20767,10782,2024-01-10,50.0
20768,10783,2024-01-02,48.43
20769,10784,2024-01-15,200.0
20770,10785,2024-01-11,10.0
20771,10786,2024-01-02,10.0
20772,10787,2024-01-01,50.0
20773,10788,2024-01-07,50.0
20774,10789,2024-01-05,200.0
20775,10790,2024-01-16,10.0
20776,10791,2024-01-10,200.0
20777,10792,2024-01-02,200.0
20778,10793,2024-01-09,200.0
20779,10794,2024-01-11,200.0
20780,10795,2024-01-09,200.0
20781,10796,2024-01-03,10.0
20782,10797,2024-01-01,50.0
20783,10798,2024-01-03,50.0
20784,10799,2024-01-17,50.0
20785,10800,2024-01-10,50.0
20786,10801,2024-01-01,50.0
20787,10802,2024-01-03,200.0
20788,10803,2024-01-13,50.0
20789,10804,2024-01-11,200.0
20790,10805,2024-01-13,10.0
20791,10806,2024-01-19,10.0
20792,10807,2024-01-17,10.0
20793,10808,2024-01-12,200.0
20794,10809,2024-01-15,49.29
20795,10810,2024-01-01,50.0
20796,10811,2024-01-15,200.0
20797,10812,2024-01-10,200.0
20798,10813,2024-01-12,50.0
20799,10814,2024-01-16,200.0
20800,10815,2024-01-15,10.0
20801,10816,2024-01-02,50.0
20802,10817,2024-01-04,50.0
20803,10818,2024-01-11,200.0
20804,10819,2024-01-19,200.0
20805,10820,2024-01-02,50.0
20806,10821,2024-01-15,10.0
20807,10822,2024-01-17,10.0
20808,10823,2024-01-12,10.0
20809,10824,2024-01-06,200.0
20810,10825,2024-01-08,200.0
20811,10826,2024-01-11,50.0
20812,10827,2024-01-04,50.0
20813,10828,2024-01-11,50.0
20814,10829,2024-01-14,50.0
20815,10830,2024-01-16,50.0
20816,10831,2024-01-03,10.0
20817,10832,2024-01-02,50.0
20818,10833,2024-01-14,50.0
20819,10834,2024-01-03,50.0
20820,10835,2024-01-01,10.0
