leakage_date,leakage_category,leakage_amount,plan_name,region
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-03-2024,Partial Payment,3.49,Enterprise,East
01-03-2024,Partial Payment,3.96,Pro,South
01-03-2024,Unpaid Invoice,50,Pro,South
01-03-2024,Partial Payment,3.47,Pro,East
01-03-2024,Partial Payment,0.15,Basic,East
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-03-2024,Partial Payment,0.75,Basic,South
01-03-2024,Partial Payment,4.81,Enterprise,South
01-03-2024,Partial Payment,0.46,Basic,South
01-03-2024,Partial Payment,6.9,Enterprise,North
01-03-2024,Partial Payment,9.27,Enterprise,North
01-03-2024,Unpaid Invoice,10,Basic,West
01-03-2024,Unpaid Invoice,10,Basic,North
01-03-2024,Partial Payment,2.28,Pro,West
01-03-2024,Unpaid Invoice,50,Pro,East
01-03-2024,Unpaid Invoice,50,Pro,West
01-03-2024,Unpaid Invoice,50,Pro,South
01-03-2024,Unpaid Invoice,10,Basic,West
01-03-2024,Partial Payment,13.95,Enterprise,East
01-03-2024,Partial Payment,0.12,Basic,North
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-03-2024,Partial Payment,2.43,Enterprise,West
01-03-2024,Unpaid Invoice,50,Pro,West
01-03-2024,Unpaid Invoice,10,Basic,South
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-03-2024,Unpaid Invoice,10,Basic,South
01-03-2024,Partial Payment,13.66,Enterprise,East
01-03-2024,Partial Payment,2.25,Pro,South
01-03-2024,Partial Payment,10.12,Enterprise,North
01-03-2024,Partial Payment,0.53,Basic,North
01-03-2024,Partial Payment,2.13,Pro,South
01-03-2024,Unpaid Invoice,50,Pro,North
01-03-2024,Partial Payment,5.02,Enterprise,West
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-03-2024,Unpaid Invoice,200,Enterprise,North
01-03-2024,Unpaid Invoice,10,Basic,West
01-03-2024,Unpaid Invoice,10,Basic,North
01-03-2024,Unpaid Invoice,10,Basic,South
01-03-2024,Unpaid Invoice,50,Pro,North
01-03-2024,Partial Payment,0.8,Basic,East
01-03-2024,Partial Payment,0.4,Basic,East
01-03-2024,Partial Payment,0.55,Basic,South
01-03-2024,Unpaid Invoice,200,Enterprise,North
01-03-2024,Partial Payment,0.16,Basic,West
01-03-2024,Unpaid Invoice,200,Enterprise,North
01-03-2024,Partial Payment,3.1,Pro,North
01-03-2024,Unpaid Invoice,10,Basic,West
01-03-2024,Partial Payment,3.1,Enterprise,North
01-03-2024,Partial Payment,0.77,Basic,East
01-03-2024,Partial Payment,2.43,Enterprise,North
01-03-2024,Unpaid Invoice,10,Basic,West
01-03-2024,Partial Payment,0.75,Basic,East
01-03-2024,Unpaid Invoice,200,Enterprise,East
01-04-2024,Partial Payment,8.66,Enterprise,North
01-04-2024,Partial Payment,18.5,Enterprise,North
01-04-2024,Partial Payment,7.05,Enterprise,North
01-04-2024,Partial Payment,0.34,Basic,East
01-04-2024,Partial Payment,5.83,Enterprise,West
01-04-2024,Unpaid Invoice,10,Basic,South
01-04-2024,Unpaid Invoice,50,Pro,South
01-04-2024,Unpaid Invoice,200,Enterprise,North
01-04-2024,Partial Payment,4.42,Pro,East
01-04-2024,Partial Payment,1.01,Pro,East
01-04-2024,Partial Payment,4.31,Pro,North
01-04-2024,Partial Payment,0.34,Basic,East
01-04-2024,Partial Payment,1.54,Pro,West
01-04-2024,Unpaid Invoice,10,Basic,South
01-04-2024,Partial Payment,0.26,Basic,North
01-04-2024,Partial Payment,4.91,Pro,West
01-04-2024,Partial Payment,1.68,Pro,West
01-04-2024,Partial Payment,2.12,Pro,South
01-04-2024,Unpaid Invoice,10,Basic,East
01-04-2024,Partial Payment,3.45,Pro,West
01-04-2024,Partial Payment,3.03,Pro,South
01-04-2024,Unpaid Invoice,50,Pro,South
01-04-2024,Partial Payment,3.84,Pro,North
01-04-2024,Partial Payment,18.59,Enterprise,West
01-04-2024,Unpaid Invoice,50,Pro,East
01-04-2024,Partial Payment,2.14,Pro,South
01-04-2024,Unpaid Invoice,10,Basic,North
01-04-2024,Partial Payment,0.82,Basic,East
01-04-2024,Unpaid Invoice,50,Pro,North
01-04-2024,Partial Payment,0.88,Basic,West
01-04-2024,Unpaid Invoice,50,Pro,West
01-04-2024,Partial Payment,0.99,Basic,North
01-04-2024,Unpaid Invoice,50,Pro,North
01-04-2024,Partial Payment,2.89,Pro,East
01-04-2024,Unpaid Invoice,10,Basic,East
01-04-2024,Unpaid Invoice,50,Pro,West
01-04-2024,Partial Payment,0.23,Basic,South
01-04-2024,Unpaid Invoice,50,Pro,South
01-04-2024,Partial Payment,8.64,Enterprise,South
01-05-2024,Partial Payment,0.89,Basic,East
01-05-2024,Unpaid Invoice,50,Pro,North
01-05-2024,Partial Payment,0.47,Basic,North
01-05-2024,Partial Payment,15.79,Enterprise,West
01-05-2024,Partial Payment,16.72,Enterprise,West
01-05-2024,Unpaid Invoice,50,Pro,South
01-05-2024,Partial Payment,0.35,Basic,West
01-05-2024,Partial Payment,3.93,Pro,West
01-05-2024,Partial Payment,0.73,Pro,North
01-05-2024,Unpaid Invoice,50,Pro,East
01-05-2024,Partial Payment,0.54,Basic,West
01-05-2024,Unpaid Invoice,10,Basic,North
01-05-2024,Partial Payment,0.49,Basic,South
01-05-2024,Partial Payment,4.1,Enterprise,East
01-05-2024,Partial Payment,4.72,Pro,West
01-05-2024,Partial Payment,0.97,Basic,South
01-05-2024,Partial Payment,0.2,Basic,East
01-05-2024,Partial Payment,3.19,Pro,South
01-05-2024,Partial Payment,3.98,Pro,East
01-05-2024,Partial Payment,0.58,Basic,East
01-05-2024,Partial Payment,4.75,Pro,North
01-05-2024,Partial Payment,2.9,Pro,South
01-05-2024,Partial Payment,2.48,Pro,East
01-05-2024,Partial Payment,0.5,Basic,North
01-05-2024,Partial Payment,0.84,Basic,West
01-05-2024,Unpaid Invoice,10,Basic,West
01-05-2024,Partial Payment,0.71,Basic,North
01-05-2024,Unpaid Invoice,50,Pro,South
01-05-2024,Unpaid Invoice,10,Basic,East
01-05-2024,Unpaid Invoice,10,Basic,North
01-05-2024,Partial Payment,0.87,Basic,South
01-05-2024,Partial Payment,0.15,Basic,West
01-05-2024,Unpaid Invoice,200,Enterprise,East
01-05-2024,Unpaid Invoice,200,Enterprise,North
01-05-2024,Partial Payment,3.26,Pro,West
01-05-2024,Partial Payment,11.49,Enterprise,East
01-05-2024,Unpaid Invoice,200,Enterprise,West
01-05-2024,Partial Payment,0.69,Basic,North
01-06-2024,Partial Payment,0.37,Basic,North
01-06-2024,Partial Payment,1.8,Pro,South
01-06-2024,Unpaid Invoice,50,Pro,West
01-06-2024,Partial Payment,0.53,Pro,East
01-06-2024,Partial Payment,5.46,Enterprise,South
01-06-2024,Partial Payment,0.85,Basic,East
01-06-2024,Partial Payment,0.73,Basic,East
01-06-2024,Partial Payment,5.79,Enterprise,South
01-06-2024,Partial Payment,9.66,Enterprise,West
01-06-2024,Partial Payment,2.25,Pro,North
01-06-2024,Unpaid Invoice,200,Enterprise,East
01-06-2024,Unpaid Invoice,50,Pro,North
01-06-2024,Unpaid Invoice,50,Pro,West
01-06-2024,Unpaid Invoice,10,Basic,South
01-06-2024,Partial Payment,0.79,Basic,West
01-06-2024,Partial Payment,0.27,Basic,West
01-06-2024,Partial Payment,4.05,Pro,East
01-06-2024,Unpaid Invoice,10,Basic,East
01-06-2024,Partial Payment,6.77,Enterprise,West
01-06-2024,Partial Payment,0.46,Basic,North
01-06-2024,Unpaid Invoice,50,Pro,South
01-06-2024,Partial Payment,1.76,Pro,West
01-06-2024,Partial Payment,0.16,Basic,West
01-06-2024,Partial Payment,0.45,Basic,North
01-06-2024,Partial Payment,0.28,Basic,West
01-06-2024,Unpaid Invoice,200,Enterprise,North
01-06-2024,Unpaid Invoice,10,Basic,East
01-06-2024,Partial Payment,0.54,Basic,West
01-06-2024,Unpaid Invoice,50,Pro,East
01-06-2024,Unpaid Invoice,10,Basic,West
01-06-2024,Unpaid Invoice,10,Basic,South
01-06-2024,Partial Payment,0.63,Basic,South
01-06-2024,Unpaid Invoice,10,Basic,North
01-06-2024,Unpaid Invoice,10,Basic,North
01-06-2024,Unpaid Invoice,50,Pro,West
01-06-2024,Partial Payment,1.7,Pro,North
01-06-2024,Unpaid Invoice,50,Pro,West
01-06-2024,Partial Payment,4.46,Enterprise,North
01-06-2024,Partial Payment,8.61,Enterprise,North
01-06-2024,Partial Payment,12.74,Enterprise,North
01-06-2024,Partial Payment,10.16,Enterprise,South
01-06-2024,Partial Payment,2.31,Pro,North
01-06-2024,Partial Payment,3.07,Pro,South
01-06-2024,Partial Payment,3.61,Enterprise,North
01-06-2024,Partial Payment,17.8,Enterprise,North
01-06-2024,Partial Payment,0.55,Basic,South
01-06-2024,Partial Payment,1.33,Pro,West
01-07-2024,Unpaid Invoice,200,Enterprise,South
01-07-2024,Unpaid Invoice,10,Basic,North
01-07-2024,Partial Payment,2.03,Enterprise,South
01-07-2024,Partial Payment,3.54,Pro,West
01-07-2024,Unpaid Invoice,10,Basic,West
01-07-2024,Unpaid Invoice,50,Pro,North
01-07-2024,Partial Payment,3.82,Enterprise,East
01-07-2024,Partial Payment,3.94,Pro,South
01-07-2024,Partial Payment,0.95,Basic,North
01-07-2024,Unpaid Invoice,200,Enterprise,South
01-07-2024,Partial Payment,4.81,Pro,West
01-07-2024,Partial Payment,19.48,Enterprise,South
01-07-2024,Unpaid Invoice,50,Pro,West
01-07-2024,Partial Payment,0.56,Basic,South
01-07-2024,Partial Payment,0.7,Pro,West
01-07-2024,Partial Payment,1.97,Pro,North
01-07-2024,Partial Payment,2.05,Pro,South
01-07-2024,Partial Payment,0.86,Pro,East
01-07-2024,Partial Payment,4.71,Pro,East
01-07-2024,Unpaid Invoice,50,Pro,South
01-07-2024,Partial Payment,2.47,Pro,East
01-07-2024,Partial Payment,1.17,Pro,South
01-07-2024,Partial Payment,6.05,Enterprise,West
01-07-2024,Partial Payment,1.81,Pro,South
01-07-2024,Partial Payment,1.77,Pro,North
01-07-2024,Partial Payment,2.39,Pro,South
01-07-2024,Unpaid Invoice,200,Enterprise,West
01-07-2024,Unpaid Invoice,10,Basic,South
01-07-2024,Partial Payment,4.96,Pro,East
01-07-2024,Partial Payment,5.92,Enterprise,West
01-07-2024,Partial Payment,0.65,Pro,West
01-07-2024,Unpaid Invoice,50,Pro,West
01-07-2024,Partial Payment,0.7,Basic,South
01-07-2024,Unpaid Invoice,10,Basic,North
01-07-2024,Partial Payment,1.21,Pro,South
01-07-2024,Unpaid Invoice,200,Enterprise,West
01-07-2024,Partial Payment,13.54,Enterprise,East
01-07-2024,Unpaid Invoice,200,Enterprise,East
01-07-2024,Partial Payment,3.66,Pro,North
01-07-2024,Unpaid Invoice,10,Basic,South
01-07-2024,Partial Payment,16.7,Enterprise,East
01-07-2024,Unpaid Invoice,10,Basic,North
01-07-2024,Unpaid Invoice,200,Enterprise,North
01-07-2024,Partial Payment,2.22,Enterprise,West
01-07-2024,Partial Payment,2.19,Enterprise,East
01-07-2024,Unpaid Invoice,200,Enterprise,West
01-07-2024,Partial Payment,3.07,Pro,West
01-07-2024,Unpaid Invoice,50,Pro,East
01-07-2024,Unpaid Invoice,200,Enterprise,West
01-07-2024,Partial Payment,0.71,Basic,West
01-07-2024,Partial Payment,18.13,Enterprise,East
01-07-2024,Partial Payment,3.2,Enterprise,East
01-07-2024,Partial Payment,12.87,Enterprise,West
01-08-2024,Unpaid Invoice,200,Enterprise,North
01-08-2024,Partial Payment,2.71,Pro,West
01-08-2024,Partial Payment,0.21,Basic,East
01-08-2024,Unpaid Invoice,200,Enterprise,South
01-08-2024,Partial Payment,0.15,Basic,North
01-08-2024,Partial Payment,0.93,Basic,West
01-08-2024,Partial Payment,3.03,Pro,South
01-08-2024,Partial Payment,1.13,Pro,North
01-08-2024,Partial Payment,0.53,Basic,North
01-08-2024,Unpaid Invoice,50,Pro,South
01-08-2024,Partial Payment,0.99,Basic,North
01-08-2024,Unpaid Invoice,200,Enterprise,West
01-08-2024,Unpaid Invoice,200,Enterprise,North
01-08-2024,Partial Payment,0.29,Basic,West
01-08-2024,Partial Payment,4.05,Pro,West
01-08-2024,Unpaid Invoice,50,Pro,North
01-08-2024,Partial Payment,0.35,Basic,West
01-08-2024,Partial Payment,3.72,Pro,South
01-08-2024,Partial Payment,5.95,Enterprise,East
01-08-2024,Partial Payment,19.93,Enterprise,North
01-08-2024,Unpaid Invoice,200,Enterprise,South
01-08-2024,Partial Payment,0.78,Pro,West
01-08-2024,Partial Payment,7.77,Enterprise,West
01-08-2024,Partial Payment,0.76,Basic,West
01-08-2024,Unpaid Invoice,200,Enterprise,South
01-08-2024,Partial Payment,4.62,Pro,South
01-08-2024,Unpaid Invoice,10,Basic,West
01-08-2024,Partial Payment,16.63,Enterprise,West
01-08-2024,Unpaid Invoice,10,Basic,West
01-08-2024,Partial Payment,3.53,Pro,North
01-08-2024,Partial Payment,12.59,Enterprise,South
01-08-2024,Partial Payment,0.9,Basic,North
01-08-2024,Unpaid Invoice,50,Pro,West
01-08-2024,Partial Payment,0.34,Basic,South
01-08-2024,Unpaid Invoice,10,Basic,North
01-08-2024,Partial Payment,16.17,Enterprise,West
01-08-2024,Unpaid Invoice,50,Pro,West
01-08-2024,Partial Payment,12.13,Enterprise,North
01-08-2024,Unpaid Invoice,50,Pro,East
01-08-2024,Partial Payment,4.93,Pro,North
01-08-2024,Partial Payment,8.09,Enterprise,East
01-08-2024,Unpaid Invoice,50,Pro,East
01-08-2024,Partial Payment,9.36,Enterprise,East
01-08-2024,Partial Payment,3.05,Pro,West
01-08-2024,Unpaid Invoice,200,Enterprise,West
01-08-2024,Partial Payment,0.72,Basic,East
01-08-2024,Unpaid Invoice,200,Enterprise,South
01-08-2024,Unpaid Invoice,200,Enterprise,East
01-09-2024,Partial Payment,1.88,Pro,North
01-09-2024,Unpaid Invoice,10,Basic,East
01-09-2024,Partial Payment,0.22,Basic,North
01-09-2024,Unpaid Invoice,50,Pro,East
01-09-2024,Unpaid Invoice,10,Basic,South
01-09-2024,Partial Payment,8.64,Enterprise,North
01-09-2024,Unpaid Invoice,50,Pro,South
01-09-2024,Unpaid Invoice,200,Enterprise,East
01-09-2024,Unpaid Invoice,10,Basic,North
01-09-2024,Unpaid Invoice,200,Enterprise,East
01-09-2024,Partial Payment,4.17,Pro,West
01-09-2024,Partial Payment,3.85,Pro,West
01-09-2024,Partial Payment,0.6,Basic,East
01-09-2024,Unpaid Invoice,50,Pro,West
01-09-2024,Partial Payment,10.42,Enterprise,South
01-09-2024,Unpaid Invoice,10,Basic,South
01-09-2024,Partial Payment,0.41,Basic,East
01-09-2024,Unpaid Invoice,10,Basic,South
01-09-2024,Unpaid Invoice,10,Basic,North
01-09-2024,Partial Payment,2.87,Pro,South
01-09-2024,Unpaid Invoice,50,Pro,North
01-09-2024,Unpaid Invoice,200,Enterprise,East
01-09-2024,Partial Payment,2.33,Pro,North
01-09-2024,Partial Payment,3.43,Enterprise,South
01-09-2024,Partial Payment,9.53,Enterprise,South
01-09-2024,Partial Payment,0.16,Basic,North
01-09-2024,Partial Payment,10.53,Enterprise,East
01-09-2024,Partial Payment,2.75,Pro,North
01-09-2024,Unpaid Invoice,10,Basic,North
01-09-2024,Partial Payment,3.95,Enterprise,North
01-09-2024,Unpaid Invoice,200,Enterprise,North
01-09-2024,Partial Payment,2.61,Pro,East
01-09-2024,Partial Payment,3.66,Pro,East
01-09-2024,Partial Payment,3.07,Pro,North
01-09-2024,Unpaid Invoice,50,Pro,South
01-09-2024,Partial Payment,10.26,Enterprise,South
01-09-2024,Partial Payment,5.78,Enterprise,North
01-09-2024,Unpaid Invoice,10,Basic,North
01-09-2024,Partial Payment,2.13,Pro,East
01-09-2024,Partial Payment,14.7,Enterprise,East
01-09-2024,Unpaid Invoice,10,Basic,North
01-10-2024,Unpaid Invoice,200,Enterprise,East
01-10-2024,Unpaid Invoice,200,Enterprise,West
01-10-2024,Unpaid Invoice,50,Pro,North
01-10-2024,Partial Payment,0.53,Basic,East
01-10-2024,Partial Payment,16.01,Enterprise,East
01-10-2024,Unpaid Invoice,10,Basic,West
01-10-2024,Unpaid Invoice,200,Enterprise,South
01-10-2024,Partial Payment,10.38,Enterprise,South
01-10-2024,Partial Payment,1.77,Pro,West
01-10-2024,Partial Payment,1.17,Pro,West
01-10-2024,Unpaid Invoice,10,Basic,North
01-10-2024,Unpaid Invoice,10,Basic,North
01-10-2024,Partial Payment,0.9,Basic,West
01-10-2024,Partial Payment,0.69,Basic,South
01-10-2024,Unpaid Invoice,200,Enterprise,North
01-10-2024,Unpaid Invoice,50,Pro,North
01-10-2024,Partial Payment,1.93,Pro,North
01-10-2024,Unpaid Invoice,50,Pro,East
01-10-2024,Unpaid Invoice,10,Basic,North
01-10-2024,Unpaid Invoice,200,Enterprise,West
01-10-2024,Partial Payment,17.35,Enterprise,North
01-10-2024,Partial Payment,0.92,Basic,West
01-10-2024,Partial Payment,0.29,Basic,South
01-10-2024,Partial Payment,19.7,Enterprise,East
01-10-2024,Partial Payment,0.37,Basic,South
01-10-2024,Unpaid Invoice,50,Pro,West
01-10-2024,Unpaid Invoice,50,Pro,West
01-10-2024,Unpaid Invoice,200,Enterprise,East
01-10-2024,Unpaid Invoice,200,Enterprise,North
01-10-2024,Partial Payment,0.27,Basic,North
01-10-2024,Unpaid Invoice,50,Pro,West
01-10-2024,Unpaid Invoice,50,Pro,West
01-10-2024,Unpaid Invoice,10,Basic,West
01-10-2024,Partial Payment,3.09,Pro,South
01-10-2024,Partial Payment,2.75,Enterprise,East
01-10-2024,Unpaid Invoice,10,Basic,North
01-10-2024,Partial Payment,17.76,Enterprise,North
01-10-2024,Unpaid Invoice,50,Pro,North
01-10-2024,Partial Payment,0.87,Basic,North
01-10-2024,Partial Payment,4.59,Pro,West
01-10-2024,Partial Payment,0.81,Basic,North
01-10-2024,Partial Payment,3.93,Enterprise,West
01-10-2024,Partial Payment,13.4,Enterprise,South
01-11-2024,Partial Payment,4.33,Pro,North
01-11-2024,Partial Payment,0.66,Basic,West
01-11-2024,Unpaid Invoice,50,Pro,North
01-11-2024,Partial Payment,0.25,Basic,West
01-11-2024,Partial Payment,9.41,Enterprise,East
01-11-2024,Partial Payment,0.95,Pro,North
01-11-2024,Partial Payment,18.2,Enterprise,West
01-11-2024,Partial Payment,2.06,Pro,East
01-11-2024,Unpaid Invoice,50,Pro,West
01-11-2024,Unpaid Invoice,50,Pro,North
01-11-2024,Partial Payment,3.63,Pro,East
01-11-2024,Partial Payment,8.78,Enterprise,East
01-11-2024,Partial Payment,0.32,Basic,West
01-11-2024,Unpaid Invoice,200,Enterprise,West
01-11-2024,Unpaid Invoice,50,Pro,South
01-11-2024,Unpaid Invoice,50,Pro,North
01-11-2024,Unpaid Invoice,10,Basic,North
01-11-2024,Partial Payment,0.87,Basic,East
01-11-2024,Partial Payment,3.37,Pro,North
01-11-2024,Partial Payment,0.42,Basic,East
01-11-2024,Partial Payment,1.85,Pro,East
01-11-2024,Partial Payment,2,Pro,West
01-11-2024,Unpaid Invoice,200,Enterprise,East
01-11-2024,Partial Payment,0.12,Basic,South
01-11-2024,Unpaid Invoice,200,Enterprise,North
01-11-2024,Partial Payment,4.06,Pro,South
01-11-2024,Partial Payment,0.55,Pro,West
01-11-2024,Unpaid Invoice,10,Basic,East
01-11-2024,Partial Payment,4.45,Pro,East
01-11-2024,Partial Payment,18.84,Enterprise,West
01-11-2024,Unpaid Invoice,50,Pro,North
01-11-2024,Unpaid Invoice,50,Pro,North
01-11-2024,Partial Payment,0.61,Basic,North
01-11-2024,Partial Payment,2.28,Pro,North
01-11-2024,Unpaid Invoice,10,Basic,South
01-11-2024,Partial Payment,0.45,Basic,North
01-11-2024,Partial Payment,14.79,Enterprise,North
01-11-2024,Partial Payment,4.2,Enterprise,East
01-11-2024,Unpaid Invoice,10,Basic,North
01-11-2024,Partial Payment,4.33,Enterprise,South
01-12-2024,Partial Payment,19.01,Enterprise,North
01-12-2024,Unpaid Invoice,10,Basic,East
01-12-2024,Partial Payment,0.48,Basic,West
01-12-2024,Partial Payment,17.92,Enterprise,West
01-12-2024,Partial Payment,0.4,Basic,North
01-12-2024,Partial Payment,3.26,Pro,North
01-12-2024,Partial Payment,3.53,Pro,North
01-12-2024,Unpaid Invoice,10,Basic,East
01-12-2024,Partial Payment,9.58,Enterprise,East
01-12-2024,Partial Payment,0.11,Basic,South
01-12-2024,Partial Payment,0.53,Basic,East
01-12-2024,Unpaid Invoice,10,Basic,North
01-12-2024,Unpaid Invoice,50,Pro,East
01-12-2024,Partial Payment,0.42,Basic,West
01-12-2024,Unpaid Invoice,10,Basic,West
01-12-2024,Unpaid Invoice,200,Enterprise,West
01-12-2024,Partial Payment,1.52,Pro,East
01-12-2024,Partial Payment,0.57,Pro,North
01-12-2024,Partial Payment,7.97,Enterprise,East
01-12-2024,Partial Payment,0.44,Basic,North
01-12-2024,Unpaid Invoice,10,Basic,North
01-12-2024,Partial Payment,0.72,Basic,South
01-12-2024,Unpaid Invoice,200,Enterprise,South
01-12-2024,Unpaid Invoice,200,Enterprise,South
01-12-2024,Unpaid Invoice,50,Pro,North
01-12-2024,Unpaid Invoice,200,Enterprise,South
01-12-2024,Partial Payment,2.89,Pro,North
01-12-2024,Partial Payment,0.89,Basic,East
01-12-2024,Unpaid Invoice,200,Enterprise,East
01-12-2024,Unpaid Invoice,50,Pro,North
01-12-2024,Unpaid Invoice,10,Basic,East
01-12-2024,Partial Payment,19.66,Enterprise,South
01-12-2024,Partial Payment,7.82,Enterprise,East
01-12-2024,Unpaid Invoice,200,Enterprise,West
01-12-2024,Unpaid Invoice,10,Basic,South
01-12-2024,Unpaid Invoice,200,Enterprise,West
01-12-2024,Partial Payment,1,Basic,West
30-09-2024,Missing Invoice,10,Basic,East
30-09-2024,Missing Invoice,10,Basic,West
30-09-2024,Missing Invoice,10,Basic,East
30-09-2024,Missing Invoice,10,Basic,West
30-09-2024,Missing Invoice,10,Basic,East
30-09-2024,Missing Invoice,10,Basic,East
30-09-2024,Missing Invoice,50,Pro,East
30-09-2024,Missing Invoice,50,Pro,East
30-09-2024,Missing Invoice,50,Pro,East
30-09-2024,Missing Invoice,50,Pro,South
30-09-2024,Missing Invoice,50,Pro,West
30-09-2024,Missing Invoice,50,Pro,West
30-09-2024,Missing Invoice,50,Pro,North
